frame_index,timestamp,desk_id,worker_id,state
82,09:05:41,2,W002,WORKING
82,09:05:41,3,W003,THINKING
82,09:05:41,4,W004,THINKING
82,09:05:41,5,W005,INITIALIZING
82,09:05:41,6,W006,THINKING
83,09:05:41,1,W001,THINKING
83,09:05:41,2,W002,WORKING
83,09:05:41,3,W003,THINKING
83,09:05:41,4,W004,THINKING
83,09:05:41,5,W005,INITIALIZING
83,09:05:41,6,W006,THINKING
84,09:05:41,1,W001,THINKING
84,09:05:41,2,W002,WORKING
84,09:05:41,3,W003,THINKING
84,09:05:41,4,W004,THINKING
84,09:05:41,5,W005,INITIALIZING
84,09:05:41,6,W006,THINKING
85,09:05:41,1,W001,THINKING
85,09:05:41,2,W002,WORKING
85,09:05:41,3,W003,THINKING
85,09:05:41,4,W004,THINKING
85,09:05:41,5,W005,INITIALIZING
85,09:05:41,6,W006,THINKING
86,09:05:41,1,W001,THINKING
86,09:05:41,2,W002,WORKING
86,09:05:41,3,W003,THINKING
86,09:05:41,4,W004,THINKING
86,09:05:41,5,W005,INITIALIZING
86,09:05:41,6,W006,THINKING
87,09:05:41,1,W001,THINKING
87,09:05:41,2,W002,WORKING
87,09:05:41,3,W003,THINKING
87,09:05:41,4,W004,THINKING
87,09:05:41,5,W005,INITIALIZING
87,09:05:41,6,W006,THINKING
88,09:05:41,1,W001,THINKING
88,09:05:41,2,W002,WORKING
88,09:05:41,3,W003,THINKING
88,09:05:41,4,W004,THINKING
88,09:05:41,5,W005,INITIALIZING
88,09:05:41,6,W006,THINKING
89,09:05:41,1,W001,THINKING
89,09:05:41,2,W002,WORKING
89,09:05:41,3,W003,THINKING
89,09:05:41,4,W004,THINKING
89,09:05:41,5,W005,AWAY
89,09:05:41,6,W006,THINKING
90,09:05:41,1,W001,THINKING
90,09:05:41,2,W002,WORKING
90,09:05:41,3,W003,THINKING
90,09:05:41,4,W004,THINKING
90,09:05:41,5,W005,AWAY
90,09:05:41,6,W006,THINKING
91,09:05:41,1,W001,THINKING
91,09:05:41,2,W002,WORKING
91,09:05:41,3,W003,THINKING
91,09:05:41,4,W004,THINKING
91,09:05:41,5,W005,AWAY
91,09:05:41,6,W006,THINKING
92,09:05:41,1,W001,THINKING
92,09:05:41,2,W002,WORKING
92,09:05:41,3,W003,THINKING
92,09:05:41,4,W004,THINKING
92,09:05:41,5,W005,AWAY
92,09:05:41,6,W006,THINKING
93,09:05:41,1,W001,THINKING
93,09:05:41,2,W002,WORKING
93,09:05:41,3,W003,THINKING
93,09:05:41,4,W004,THINKING
93,09:05:41,5,W005,AWAY
93,09:05:41,6,W006,THINKING
94,09:05:41,1,W001,THINKING
94,09:05:41,2,W002,WORKING
94,09:05:41,3,W003,THINKING
94,09:05:41,4,W004,THINKING
94,09:05:41,5,W005,AWAY
94,09:05:41,6,W006,THINKING
95,09:05:41,1,W001,THINKING
95,09:05:41,2,W002,WORKING
95,09:05:41,3,W003,THINKING
95,09:05:41,4,W004,THINKING
95,09:05:41,5,W005,AWAY
95,09:05:41,6,W006,THINKING
96,09:05:42,1,W001,THINKING
96,09:05:42,2,W002,WORKING
96,09:05:42,3,W003,THINKING
96,09:05:42,4,W004,THINKING
96,09:05:42,5,W005,AWAY
96,09:05:42,6,W006,THINKING
97,09:05:42,1,W001,THINKING
97,09:05:42,2,W002,WORKING
97,09:05:42,3,W003,THINKING
97,09:05:42,4,W004,THINKING
97,09:05:42,5,W005,AWAY
97,09:05:42,6,W006,THINKING
98,09:05:42,1,W001,THINKING
98,09:05:42,2,W002,WORKING
98,09:05:42,3,W003,THINKING
98,09:05:42,4,W004,THINKING
98,09:05:42,5,W005,AWAY
98,09:05:42,6,W006,THINKING
99,09:05:42,1,W001,THINKING
99,09:05:42,2,W002,WORKING
99,09:05:42,3,W003,THINKING
99,09:05:42,4,W004,THINKING
99,09:05:42,5,W005,AWAY
99,09:05:42,6,W006,THINKING
100,09:05:42,1,W001,THINKING
100,09:05:42,2,W002,WORKING
100,09:05:42,3,W003,THINKING
100,09:05:42,4,W004,THINKING
100,09:05:42,5,W005,AWAY
100,09:05:42,6,W006,THINKING
101,09:05:42,1,W001,THINKING
101,09:05:42,2,W002,WORKING
101,09:05:42,3,W003,THINKING
101,09:05:42,4,W004,THINKING
101,09:05:42,5,W005,AWAY
101,09:05:42,6,W006,THINKING
102,09:05:42,1,W001,THINKING
102,09:05:42,2,W002,WORKING
102,09:05:42,3,W003,THINKING
102,09:05:42,4,W004,THINKING
102,09:05:42,5,W005,AWAY
102,09:05:42,6,W006,THINKING
103,09:05:42,1,W001,THINKING
103,09:05:42,2,W002,WORKING
103,09:05:42,3,W003,THINKING
103,09:05:42,4,W004,THINKING
103,09:05:42,5,W005,AWAY
103,09:05:42,6,W006,THINKING
104,09:05:42,1,W001,THINKING
104,09:05:42,2,W002,WORKING
104,09:05:42,3,W003,THINKING
104,09:05:42,4,W004,THINKING
104,09:05:42,5,W005,AWAY
104,09:05:42,6,W006,THINKING
105,09:05:42,1,W001,THINKING
105,09:05:42,2,W002,WORKING
105,09:05:42,3,W003,THINKING
105,09:05:42,4,W004,THINKING
105,09:05:42,5,W005,AWAY
105,09:05:42,6,W006,THINKING
106,09:05:42,1,W001,THINKING
106,09:05:42,2,W002,WORKING
106,09:05:42,3,W003,THINKING
106,09:05:42,4,W004,THINKING
106,09:05:42,5,W005,AWAY
106,09:05:42,6,W006,THINKING
107,09:05:42,1,W001,THINKING
107,09:05:42,2,W002,WORKING
107,09:05:42,3,W003,THINKING
107,09:05:42,4,W004,THINKING
107,09:05:42,5,W005,AWAY
107,09:05:42,6,W006,THINKING
